Scallops Direct Alba Ltd,SC393351
Bay Tree Community Cafe,SC517140
Himalayan Centre Edinburgh Ltd,SC416996
Ipower Micro Chp Ltd,SC463113
Ayr Gaiety Partnership Ltd,SC363209
Grameen Scotland Foundation,SC398139
Dot Coach Cic,SC519971
Life-Pod Clutter Management Cic,SC453659
The Scottish Trust For Underwater Archaeology,SC112863
Globalyell Ltd,SC215929
Inverness Kart Raceway Ltd,SC375740
Oban Phoenix Cinema Limited,SC397947
Soirbheas,SC356487
An Crubh Limited,SC556006
Barra & Vatersay Co Ltd,SC285873
Dunollie Projects Limited,SC335266
Gairloch And Loch Ewe Action Forum,SC220037
Linnhe Leisure Ltd,SC173320
Macdougall Of Dunollie Preservation Trust,SC184105
Mid Yell Hall,SC357434
Newstart Highland,SC342494
Point And Sandwick Development Trust,SC285953
Sleat Community Trust,SC264198
South Uist Renewable Energy Ltd,SC367861
Speyside Trust,SC121964
West Harris Trust,SC347176
Assynt Foundation,SC272665
Knockando Wool Mill,SC364588
Calman Trust,SC184887
Community Energy Scotland,SC333698
Laggan Forest Trust Forestry Company Ltd,SC189326
Centre Of Therapy,SC194864
Corbenic Camphill Community Ltd,SC066657
Locavore Cic,SC412721
The Food Train Limited,SC158165
All Cleaned Up Scotland Ltd,SC409894
Aspire Community Solutions,SC532243
Crisis,SC166079
Dunblane Development Trust,SC250969
Eadha Enterprises (Trading) Ltd,SC452136
Edinburgh Sculpture Workshop,SC123174
Energy Technology Centre,SC345129
Fablevision Ltd,SC093003
Furniture Project Stranraer,SC176908
Greenock Arts Guild Limited,SC024805
Here We Are,SC184879
Heroes Drinks Company Cic,08184286
Impact Arts,SC152230
Indigo Childcare Group,SC265660
Kilfinan Community Forest Company,SC333208
Many Studios C.I.C.,SC493053
Our Hydro Limited,SC367358
Our Power (Cairndow) Cic,SC331067
Community Alliance Trading Enterprise Ltd,SC449877
Cue And Review,SC129748
Delivered Next Day Personally Cic,SC425108
Glad Café,SC375439
Kirkintilloch Community Sports Club,SC463150
Owl And Pussycat Centre Ltd,SC388781
Balmore Trust Limited,SC071644
Ceis,SC332059
Deaf Connections,SC133325
Fraserburgh Development Trust,SC352542
Glencraft (Aberdeen) Ltd,SC372729
Pkc Sporting Solutions Ltd,SC377762
Recap (N. Lanarkshire),SC265378
Camphill Blair Drummond,SC059206
Cornerstone Community Care Ltd,SC070762
Kibble Education And Care Centre,SC158220
South West Mull & Iona Development,SC472460
Comrie Development Trust,SC305425
Factory Ii Ltd,SC235408
Factory Vi Ltd,SC490596
Fair For You Enterprise Cic,09798014
Glasgow Together,SC483823
Huntly And District Development Trust,SC358964
Out Of The Blue Arts & Education Trust,SC235075
Showcase The Street,SC287964
Bookdonors Cic Ltd,SC292109
Brewgooder Limited,SC522185
Carman Care,SC211024
Catrine Community Renewables Limited,SC520799
Catrine Community Trust,SC137493
Chance For Change,SC371656
Fife Harca,SC243668
Friends Of The Award Edinburgh And Lothians,SC184821
Re-Union Canal Boats,SC265866
Social Bite,SC424001
Social Bite Resturants,SC534592
Social Enterprise Academy,05999743
Transform,SC097367
Gorebridge Community Development Trust,SC276942
Scotservs,SC470956
Visit Helensburgh Ltd,SC379040
New Caledonian Woodlands,SC313081
Seaton Community Enterprise Ltd,SC129391
Working Rite Cic,SC343819
Kinder Handl,SC452064
Foxlake Adventures Cic,SC421071
Spartans Community Football Academy,SC306958
Breadshare Cic,SC403734
Bridge 8 Hub Cic,SC435764
Broxburn United Sports Club Trust,SC337381
Dundee Gymnastics Club 2K,SC250221
Fabb Scotland,SC134379
Green Aspirations Scotland Cic,SC442821
Leith Theatre Trust,SC338846
Newmilns,SC247426
Street League,04974643
Inch Park Community Sports Club Limited,SC342628
Kilwinning Community Sports Club,SC282026
Boroughmuir Rugby & Community Sports Club,SC420126
Creating Conversations Limited,SC532057
Mosaicshack Cic,SC489379
Transition Extreme Sports Limited,SC280405
Venture Mòr Ltd,SC378890
